
Test of optical gates ........... done
Press 'S' to start
id;time0;time1;time2;time3;time4;time5;time6;time77;time8;time9;time10;humid;temp
0;0;130;266;428;593;769;954;1144;1347;1575;1842;46;20
1;2255;1854;1543;1273;1043;842;658;473;303;153;0;45;20
2;0;150;300;465;634;817;1008;1203;1406;1644;1922;45;20
3;0;197;398;630;885;1165;1514;1899;2532;4478;4846;45;20
4;0;78;175;275;373;473;578;678;781;891;1007;46;20
5;0;114;253;410;580;760;958;1160;1375;1624;1901;45;20
6;-;0;-;287;431;587;748;913;1100;1331;1590;46;20
7;0;108;224;351;479;610;749;894;1041;1206;1377;46;20
8;0;213;362;530;704;898;1111;1337;1574;1861;2196;46;20
9;0;-;219;337;466;602;747;894;1049;1222;1410;46;20
10;0;88;200;317;436;559;688;813;941;1081;1228;46;20
11;0;-;-;291;387;501;613;721;833;956;1084;45;20
12;0;115;197;279;364;453;538;629;713;809;909;46;20
13;0;141;281;415;556;711;872;1037;1206;1398;1614;45;20
14;0;114;275;455;647;851;1070;1294;1541;1823;2176;45;20
15;0;142;316;501;706;930;1175;1041;2763;2988;3231;46;20
16;0;0;1242;1752;2232;-;3366;3940;4360;4775;-;47;20
17;0;657;1300;-;-;2632;2749;4138;4453;-;-;50;20
18;0;998;1438;-;-;-;-;2993;3293;3618;4151;46;20
19;-;-;-;-;-;-;0;1769;2049;2476;3900;45;20
20;0;152;332;530;755;1008;1330;1700;2156;4498;4664;45;20
21;0;112;245;392;541;703;867;1042;1229;1438;1665;46;20
